,ROI_0,ROI_6,ROI_14,ROI_30
332,inf,inf,inf,inf
333,inf,inf,inf,inf
334,inf,inf,inf,inf
335,inf,inf,inf,inf
336,inf,inf,inf,inf
337,inf,inf,inf,inf
338,0.0,0.0,0.0,0.0
339,inf,inf,inf,inf
340,inf,inf,inf,inf
341,inf,inf,inf,inf
342,0.0,0.0,0.0,0.0
343,0.0,0.0,0.0,0.0
344,inf,inf,inf,inf
345,inf,inf,inf,inf
346,inf,inf,inf,inf
347,inf,inf,inf,inf
348,inf,inf,inf,inf
349,inf,inf,inf,inf
350,inf,inf,inf,inf
351,inf,inf,inf,inf
352,inf,inf,inf,inf
353,inf,inf,inf,inf
354,0.0,inf,inf,inf
355,0.0,0.0,0.0,0.0
356,-0.9864148175830336,-0.9221020631880538,-0.8557884430326532,-0.7520670808613971
357,-0.9913647303540475,-0.9393494418116753,-0.8631832640216618,-0.7387868903486976
358,-0.9896643157403082,-0.9635232601588043,-0.9152347501167679,-0.8208140588510042
359,-0.9923106877301342,-0.9669431904026606,-0.9437443876945005,-0.8885837842974225
360,-1.0,-1.0,-1.0,-1.0
361,-1.0,-1.0,-1.0,-1.0
362,inf,inf,inf,inf
363,-0.9994199294532627,-0.9994199294532627,-0.9974818342151676,-0.9557807760141094
364,-0.9668762631077217,-0.8746104861773117,-0.7131506196377502,-0.12328427073403303
365,-0.98812,-0.9762340540540541,-0.9286783783783784,-0.8751767567567568
366,-0.9887372671355408,-0.9166868028813139,-0.8266051064571724,-0.6668880554046054
367,-0.9096058100558659,-0.6051454748603351,-0.129586592178771,0.7134337430167597
368,0.0,0.0,0.0,0.0
369,0.0,0.0,0.0,0.0
