,chanel,week_3,week_2,week_1,week_52,week_51
82,EXO VH,38688.0,45136.0,45136.0,45136.0,32240.0
83,EXO VH AU / NZ,750.0,875.0,875.0,875.0,625.0
84,EXO VH CA_Mob,1020.0,1190.0,1190.0,1190.0,850.0
85,EXO VH Canada,1950.0,2275.0,2275.0,2275.0,1625.0
86,EXO VH Mob,53322.0,62209.0,62209.0,62209.0,44435.0
87,EXO VH UK,1170.0,1365.0,1365.0,1365.0,975.0
88,EXO VH UK_Mob,3480.0,4060.0,4060.0,4060.0,2900.0
89,EnvyusMedia,171738.0,200361.0,200361.0,200357.0,143104.0
90,Envyus_mobile,244578.0,285342.0,285348.0,285348.0,203815.0
91,Evoleads,131850.0,153825.0,153825.0,153825.0,109875.0
92,FB,33895.0,39543.0,39470.0,38866.0,27257.0
93,Hitwe_mobile,142128.0,165811.0,165809.0,165809.0,118435.0
94,Hootmobi,22170.0,25865.0,25865.0,25865.0,18475.0
95,Hootmobi_mobile,67518.0,78771.0,78771.0,78771.0,56265.0
96,Ilya Alex,30.0,35.0,35.0,35.0,25.0
97,LS CPAmatica,43764.0,51058.0,51058.0,51058.0,36470.0
98,LS CPAmatica email,76089.0,88767.0,88767.0,88765.0,63404.0
99,LS CPAmatica mobile,73434.0,85673.0,85673.0,85667.0,61190.0
100,LS Clickbooth email,30.0,35.0,35.0,35.0,25.0
101,LS Evolution,30.0,35.0,35.0,35.0,25.0
102,LS Evolution email,90.0,105.0,105.0,105.0,75.0
103,LosPollos,3834489.0,4473539.0,4473527.0,4473531.0,3195371.0
104,LosPollos_mobile,802830.0,936635.0,936638.0,936637.0,669030.0
105,LoveSwans,2610.0,3045.0,3045.0,3045.0,2175.0
106,MDSP VB,330.0,385.0,385.0,385.0,275.0
107,Maroola,157848.0,184156.0,184156.0,184156.0,131537.0
108,Maroola_email,1770.0,2065.0,2065.0,2065.0,1475.0
109,Matomy,5244.0,6118.0,6118.0,6118.0,4355.0
110,Matomy_internal,180381.0,210432.0,210427.0,210427.0,150291.0
111,Matomy_mobile,1353167.0,1578636.0,1578596.0,1578576.0,1127532.0
112,MaxBounty,77130.0,89985.0,89985.0,89980.0,64253.0
113,MaxBounty_email,1650.0,1925.0,1925.0,1925.0,1375.0
114,MaxBounty_mobile,162924.0,190078.0,190075.0,190071.0,135765.0
115,Mobidea,307139.0,358327.0,358324.0,358323.0,255948.0
116,Mobytize,67254.0,78463.0,78463.0,78463.0,56052.0
117,Mobytize_mobile,22218.0,25921.0,25921.0,25921.0,18515.0
118,MundoMedia,512375.0,597777.0,596483.0,582932.0,403102.0
119,MundoMedia_mobile,19518.0,22771.0,22771.0,22771.0,16265.0
120,PPS External,,,,,
121,PPS-Offer,241182.0,281375.0,280832.0,274881.0,192326.0
122,Peerfly,200716.0,234168.0,234164.0,234164.0,167260.0
123,Primedemand,489651.0,571255.0,571263.0,571250.0,408022.0
124,Primedemand_mobile,101286.0,118172.0,118171.0,118174.0,84406.0
125,RT Bing,60.0,70.0,70.0,70.0,50.0
126,RT Bing Desktop BrandAd,15684.0,18298.0,18250.0,17839.0,12400.0
127,RT Bing Desktop FR,210.0,245.0,245.0,245.0,175.0
128,RT Bing Desktop FR Ethnic,30.0,35.0,35.0,35.0,25.0
129,RT Bing Desktop tier1,683648.0,797614.0,794036.0,759650.0,514404.0
130,RT Bing Desktop tier1 Ethnic,139567.0,162812.0,162271.0,156262.0,105978.0
131,RT Bing Desktop tier1 Marriage,29412.0,34314.0,34314.0,34314.0,24510.0
132,RT Bing Desktop tier2,8036.0,9373.0,9346.0,9035.0,6203.0
133,RT Bing Desktop tier2 Ethnic,5994.0,6993.0,6968.0,6589.0,4191.0
134,RT Bing Desktop tier2 Marriage,330.0,385.0,385.0,385.0,275.0
135,RT Bing Desktop top2,180.0,210.0,210.0,207.0,124.0
136,RT Bing Desktop top2 Ethnic,420.0,490.0,490.0,490.0,349.0
137,RT Bing Desktop top3 Ethnic,150.0,175.0,175.0,175.0,122.0
138,RT Bing Desktop top6,480.0,560.0,559.0,539.0,374.0
139,RT Bing Desktop top6 Ethnic,210.0,245.0,245.0,238.0,138.0
140,RT Bing Mobile BrandAd,9462.0,11039.0,11036.0,11004.0,7823.0
141,RT Bing Mobile tier1,1656564.0,1932678.0,1924014.0,1841013.0,1242046.0
142,RT Bing Mobile tier1 Ethnic,138221.0,161273.0,160663.0,154858.0,105427.0
143,RT Bing Mobile tier1 Marriage,82470.0,96215.0,96215.0,96215.0,68725.0
144,RT Bing Mobile tier2,39078.0,45591.0,45484.0,44157.0,30190.0
145,RT Bing Mobile tier2 Ethnic,12060.0,14070.0,13967.0,13001.0,8567.0
146,RT Bing Mobile tier2 Marriage,1590.0,1855.0,1855.0,1855.0,1325.0
147,RT Bing Mobile top2,180.0,210.0,208.0,185.0,120.0
148,RT Bing Mobile top2 Ethnic,60.0,70.0,70.0,70.0,50.0
149,RT Bing Mobile top3 Ethnic,60.0,70.0,70.0,70.0,50.0
150,RT Bing desktop top2 Ethnic,30.0,35.0,35.0,35.0,25.0
151,RT DBM,146934.0,171422.0,171247.0,169726.0,119684.0
152,RT DBM TOP1,109745.0,128045.0,126844.0,116716.0,76417.0
153,RT DBM TOP1 retention,98897.0,115389.0,115235.0,114043.0,80293.0
154,RT DBM_Mob,281706.0,328657.0,326841.0,309665.0,204485.0
155,RT DBM_Mob TOP1,105038.0,122557.0,121254.0,109690.0,69527.0
156,RT Desktop GDN Smart ads,96030.0,112034.0,112029.0,112035.0,80025.0
157,RT Desktop GDN Smart ads top1,196938.0,229761.0,229761.0,229764.0,164120.0
158,RT Desktop GDN USA,591939.0,690573.0,690570.0,690546.0,493223.0
159,RT Desktop GSP USA,229153.0,267343.0,267337.0,267318.0,190945.0
160,RT Desktopn GDN top1,663822.0,774426.0,774382.0,774392.0,553132.0
161,RT Desktopn GSP top1,213750.0,249350.0,249357.0,249333.0,178082.0
162,RT Female,5850.0,6825.0,6825.0,6825.0,4875.0
163,RT Mobile GDN USA,1120660.0,1307439.0,1307426.0,1307424.0,933850.0
164,RT Mobile GDN top1,485046.0,565881.0,565873.0,565857.0,404162.0
165,RT Mobile GSP USA,1098816.0,1281934.0,1281877.0,1281821.0,915514.0
166,RT Mobile GSP top1,581808.0,678776.0,678793.0,678760.0,484811.0
167,RT Search Desktop Brand ads,83297.0,97180.0,97182.0,97186.0,69391.0
168,RT Search Desktop FR,4374.0,5103.0,5103.0,5103.0,3645.0
169,RT Search Desktop FR Ethnic,1338.0,1561.0,1561.0,1561.0,1115.0
170,RT Search Desktop tier1,287490.0,335405.0,335405.0,335390.0,239561.0
171,RT Search Desktop tier1 Ethnic,213212.0,248701.0,248704.0,248669.0,177569.0
172,RT Search Desktop tier2,475008.0,554176.0,554178.0,554173.0,395838.0
173,RT Search Desktop tier2 Ethnic,38019.0,44345.0,44345.0,44345.0,31675.0
174,RT Search Desktop top2,11963.0,13956.0,13955.0,13958.0,9970.0
175,RT Search Desktop top2 Ethnic,10080.0,11760.0,11760.0,11760.0,8400.0
176,RT Search Desktop top3,21126.0,24647.0,24647.0,24647.0,17605.0
177,RT Search Desktop top3 Ethnic,13404.0,15638.0,15638.0,15644.0,11170.0
178,RT Search Desktop top6,29706.0,34657.0,34657.0,34657.0,24755.0
179,RT Search Desktop top6 Ethnic,10956.0,12782.0,12784.0,12785.0,9130.0
180,RT Search Mobile Brand ads,29106.0,33957.0,33957.0,33953.0,24241.0
181,RT Search Mobile FR Ethnic,1368.0,1596.0,1596.0,1596.0,1140.0
182,RT Search Mobile tier1,355014.0,414183.0,414183.0,414188.0,295846.0
